¦¸¼Æ,flows
Our
100,flows
1,17
2,19
3,19
4,20
5,17
6,16
7,17
8,23
9,20
10,22
11,21
12,18
13,23
14,21
15,19
16,22
17,20
18,21
19,17
20,20
21,18
22,20
23,18
24,21
25,21
26,20
27,18
28,20
29,23
30,21
31,20
32,22
33,17
34,17
35,20
36,17
37,19
38,20
39,17
40,18
41,22
42,18
43,21
44,21
45,18
46,22
47,18
48,19
49,19
50,19
51,17
52,19
53,22
54,18
55,21
56,19
57,19
58,19
59,17
60,22
61,21
62,20
63,19
64,19
65,18
66,18
67,19
68,20
69,20
70,20
71,22
72,20
73,22
74,22
75,23
76,19
77,19
78,19
79,19
80,19
81,19
82,19
83,17
84,18
85,17
86,16
87,16
88,19
89,20
90,16
91,15
92,20
93,19
94,18
95,18
96,18
97,20
98,18
99,22
100,22
140,flows
1,20
2,19
3,23
4,22
5,19
6,19
7,21
8,20
9,18
10,20
11,22
12,25
13,19
14,19
15,19
16,22
17,19
18,21
19,23
20,21
21,23
22,23
23,22
24,20
25,22
26,20
27,21
28,20
29,19
30,19
31,23
32,25
33,21
34,20
35,20
36,19
37,24
38,22
39,19
40,22
41,22
42,21
43,25
44,18
45,20
46,19
47,20
48,20
49,21
50,23
51,23
52,20
53,19
54,21
55,21
56,22
57,21
58,23
59,22
60,22
61,23
62,21
63,25
64,24
65,21
66,21
67,21
68,23
69,26
70,20
71,22
72,20
73,22
74,19
75,22
76,23
77,20
78,21
79,21
80,23
81,22
82,21
83,21
84,21
85,21
86,17
87,20
88,23
89,20
90,24
91,23
92,17
93,23
94,21
95,22
96,20
97,23
98,17
99,22
100,20
180,flows
1,21
2,25
3,21
4,22
5,23
6,25
7,23
8,26
9,21
10,27
11,21
12,24
13,22
14,21
15,22
16,22
17,21
18,21
19,21
20,20
21,22
22,21
23,22
24,28
25,22
26,24
27,19
28,22
29,21
30,23
31,22
32,25
33,27
34,21
35,24
36,22
37,22
38,21
39,25
40,24
41,24
42,22
43,24
44,24
45,22
46,20
47,21
48,21
49,25
50,21
51,23
52,26
53,24
54,19
55,24
56,20
57,24
58,22
59,23
60,24
61,24
62,20
63,21
64,26
65,24
66,22
67,23
68,25
69,22
70,21
71,22
72,25
73,20
74,22
75,24
76,26
77,22
78,25
79,23
80,25
81,23
82,22
83,22
84,21
85,23
86,20
87,20
88,25
89,20
90,18
91,23
92,21
93,21
94,22
95,23
96,22
97,23
98,22
99,21
100,24
220,flows
1,21
2,23
3,22
4,20
5,26
6,24
7,26
8,25
9,26
10,26
11,24
12,27
13,24
14,22
15,22
16,27
17,22
18,24
19,23
20,26
21,29
22,24
23,21
24,24
25,23
26,27
27,22
28,29
29,23
30,23
31,26
32,26
33,24
34,23
35,23
36,25
37,22
38,24
39,24
40,23
41,22
42,25
43,26
44,22
45,23
46,27
47,25
48,22
49,24
50,27
51,22
52,28
53,25
54,20
55,23
56,22
57,24
58,27
59,23
60,23
61,21
62,24
63,25
64,24
65,23
66,25
67,25
68,25
69,25
70,25
71,23
72,25
73,24
74,19
75,23
76,25
77,23
78,26
79,23
80,21
81,25
82,25
83,22
84,27
85,25
86,23
87,24
88,23
89,23
90,20
91,22
92,22
93,22
94,23
95,23
96,25
97,25
98,19
99,24
100,24
260,flows
1,27
2,23
3,25
4,27
5,27
6,26
7,26
8,27
9,23
10,22
11,27
12,21
13,25
14,24
15,26
16,27
17,24
18,27
19,27
20,25
21,26
22,25
23,25
24,26
25,23
26,24
27,27
28,27
29,24
30,22
31,24
32,22
33,27
34,23
35,26
36,21
37,25
38,21
39,23
