¦¸¼Æ,time
Our
100,flows
11,1031
12,869
13,933
14,919
15,913
16,904
17,900
18,1016
19,1021
20,1085
21,891
22,1128
23,885
24,1027
25,895
26,908
27,949
28,1047
29,937
30,1035
31,939
32,926
33,925
34,997
35,957
36,1077
37,962
38,1022
39,1088
40,920
41,901
42,1030
43,994
44,945
45,1064
46,927
47,936
48,1097
49,950
50,975
51,954
52,1116
53,987
54,966
55,936
56,958
57,1042
58,807
59,1077
60,1015
61,955
62,1005
63,1001
64,963
65,984
66,1031
67,964
68,964
69,892
70,847
71,883
72,818
73,971
74,976
75,937
76,996
77,1049
78,885
79,878
80,884
81,950
82,958
83,989
84,931
85,1030
86,893
87,942
88,885
89,998
90,1005
91,865
92,862
93,962
94,1039
95,958
96,1082
97,1246
98,1025
99,995
100,986
220,flows
1,1138
2,1169
3,1070
4,1079
5,1088
6,1027
7,1064
8,1123
9,1168
10,1175
11,1191
12,1105
13,1056
14,1148
15,1178
16,1045
17,1096
18,1058
19,1148
20,1178
21,1216
22,1086
23,1285
24,1143
25,1153
26,1103
27,1127
28,1174
29,1079
30,1176
31,1031
32,1027
33,1242
34,1203
35,1150
36,1112
37,1086
38,1223
39,1135
40,1052
41,1130
42,1102
43,1227
44,1073
45,1189
46,1048
47,1198
48,1019
49,1242
50,1126
51,1127
52,1179
53,1052
54,1341
55,1095
56,1077
57,1057
58,1094
59,1108
60,1268
61,1268
62,1027
63,1162
64,1175
65,1184
66,1232
67,1305
68,1095
69,1095
70,1022
71,1249
72,1101
73,1148
74,1279
75,1199
76,1216
77,1254
78,1127
79,1113
80,1153
81,1085
82,1244
83,1250
84,1145
85,1023
86,1065
87,1044
88,1185
89,1084
90,1099
91,1145
92,1169
93,1116
94,1048
95,1174
96,1020
97,1093
98,1280
99,1078
100,1185
260,flows
1,1371
2,1194
3,1240
4,1317
5,1265
6,1372
7,1272
8,1406
9,1410
10,1289
11,1135
12,1326
13,1408
14,1362
15,1308
16,1410
17,1275
18,1231
19,1300
20,1127
21,1294
22,1265
23,1455
24,1451
25,1295
26,1336
27,1234
28,1424
29,1426
30,1358
31,1233
32,1266
33,1305
34,1359
35,1455
36,1353
37,1283
38,1251
39,1298
40,1188
41,1248
42,1358
43,1168
44,1321
45,1367
46,1253
47,1188
48,1238
49,1266
50,1336
51,1222
52,1358
53,1407
54,1353
55,1425
56,1278
57,1433
58,1261
59,1305
60,1333
61,1405
62,1344
63,1415
64,1487
65,1233
66,1437
67,1254
68,1221
69,1295
70,1427
71,1250
72,1279
73,1368
74,1205
75,1188
76,1329
77,1396
78,1265
79,1334
80,1260
81,1343
82,1392
83,1346
84,1442
85,1336
86,1351
87,1345
88,1306
89,1290
90,1423
91,1344
92,1323
93,1341
94,1330
95,1475
96,1494
97,1219
98,1239
99,1376
100,1269
Period_per_size_based
100,flows
1,715
2,678
3,643
4,630
5,596
6,675
7,629
8,686
9,597
10,653
11,633
12,632
13,515
14,699
15,564
16,673
17,589
18,778
19,575
20,696
21,575
22,709
23,582
24,628
25,643
26,588
27,610
28,582
29,596
30,685
31,653
32,699
33,640
34,713
35,598
36,591
37,590
38,568
39,586
40,598
41,694
42,576
43,634
44,727
45,612
46,602
47,643
48,635
49,659
50,602
51,636
52,604
53,643
54,646
55,475
56,659
57,603
58,603
59,547
60,772
61,714
62,610
63,603
64,648
65,711
66,569
67,663
68,600
69,650
70,711
71,609
72,606
73,573
74,659
75,593
76,627
77,594
78,613
79,587
80,617
81,621
82,656
83,578
84,602
85,555
86,631
87,722
88,669
89,645
90,719
91,568
92,588
93,586
94,602
95,611
96,681
97,643
98,613
99,567
100,584
140,flows
1,801
2,863
3,806
4,713
5,745
6,810
7,789
8,820
9,807
10,813
11,909
12,838
13,783
14,797
15,793
16,826
17,780
18,853
19,820
20,839
21,799
22,776
23,828
24,759
25,826
26,757
27,730
28,756
29,803
30,745
31,778
32,873
33,768
34,767
35,795
36,736
37,817
38,857
39,784
40,819
41,745
42,742
43,712
44,730
45,933
46,793
47,879
48,820
49,744
50,835
51,793
52,849
53,803
54,863
55,848
56,828
57,841
58,831
59,764
60,957
61,839
62,824
63,713
64,733
65,757
66,783
67,830
68,897
69,781
70,719
71,837
72,768
73,878
74,773
75,749
76,808
77,797
78,786
79,811
80,696
81,803
82,721
83,788
84,828
85,764
86,781
87,771
88,893
89,774
90,822
91,947
92,860
93,851
94,868
95,903
96,827
97,768
98,757
99,825
100,783
180,flows
1,1083
2,1015
3,886
4,1046
5,983
6,1006
7,926
8,1082
9,975
10,941
