¦¸¼Æ,flows
Our
100,flows
1,18
2,18
3,24
4,20
5,19
6,22
7,19
8,18
9,18
10,18
11,20
12,18
13,19
14,20
15,21
16,20
17,18
18,18
19,18
20,19
21,18
22,17
23,19
24,21
25,21
26,19
27,20
28,20
29,21
30,19
31,20
32,22
33,18
34,20
35,18
36,23
37,21
38,20
39,15
40,21
41,19
42,18
43,17
44,19
45,20
46,20
47,17
48,20
49,21
50,16
51,20
52,18
53,20
54,20
55,20
56,19
57,18
58,19
59,19
60,20
61,21
62,22
63,16
64,18
65,19
66,21
67,20
68,19
69,19
70,20
71,18
72,19
73,18
74,19
75,19
76,17
77,22
78,20
79,19
80,19
81,22
82,19
83,17
84,19
85,17
86,22
87,20
88,20
89,20
90,21
91,21
92,16
93,23
94,23
95,23
96,19
97,22
98,18
99,18
100,19
140,flows
1,22
2,23
3,22
4,19
5,24
6,20
7,21
8,21
9,22
10,21
11,22
12,19
13,24
14,24
15,24
16,20
17,18
18,22
19,19
20,19
21,20
22,21
23,21
24,22
25,24
26,22
27,19
28,22
29,21
30,22
31,22
32,23
33,26
34,23
35,22
36,20
37,25
38,22
39,22
40,21
41,22
42,22
43,23
44,19
45,19
46,21
47,22
48,19
49,20
50,20
51,22
52,22
53,21
54,21
55,26
56,16
57,22
58,19
59,24
60,23
61,21
62,21
63,23
64,22
65,18
66,24
67,17
68,20
69,23
70,22
71,21
72,20
73,22
74,18
75,21
76,25
77,24
78,19
79,22
80,22
81,22
82,21
83,20
84,23
85,21
86,23
87,24
88,20
89,21
90,22
91,20
92,20
93,21
94,24
95,22
96,18
97,24
98,20
99,22
100,20
180,flows
1,22
2,22
3,25
4,22
5,27
6,22
7,24
8,25
9,26
10,21
11,26
12,26
13,29
14,21
15,24
16,25
17,28
18,23
19,21
20,27
21,25
22,23
23,22
24,24
25,24
26,21
27,22
28,23
29,29
30,23
31,23
32,23
33,23
34,21
35,22
36,23
37,26
38,24
39,27
40,23
41,22
42,23
43,20
44,27
45,23
46,21
47,23
48,22
49,24
50,26
51,22
52,25
53,23
54,25
55,22
56,20
57,29
58,24
59,25
60,23
61,24
62,21
63,21
64,25
65,25
66,24
67,20
68,24
69,22
70,23
71,26
72,23
73,24
74,24
75,21
76,23
77,23
78,20
79,21
80,21
81,24
82,22
83,21
84,24
85,23
86,26
87,27
88,26
89,25
90,25
91,24
92,23
93,24
94,24
95,23
96,23
97,23
98,21
99,20
100,22
220,flows
1,22
2,27
3,28
4,24
5,22
6,26
7,25
8,27
9,25
10,25
11,24
12,29
13,26
14,23
15,23
16,27
17,26
18,28
19,25
20,23
21,22
22,23
23,25
24,23
25,27
26,25
27,21
28,21
29,25
30,23
31,24
32,23
33,23
34,27
35,23
36,24
37,26
38,28
39,28
40,27
41,27
42,25
43,21
44,26
45,24
46,25
47,26
48,23
49,27
50,29
51,27
52,27
53,29
54,26
55,25
56,24
57,25
58,25
59,26
60,25
61,24
62,24
63,24
64,27
65,26
66,27
67,27
68,24
69,25
70,24
71,23
72,28
73,26
74,25
75,27
76,25
77,25
78,24
79,24
80,21
81,24
82,20
83,29
84,27
85,26
86,26
87,23
88,25
89,23
90,25
91,28
92,24
93,27
94,22
95,25
96,25
97,23
98,24
99,24
100,23
260,flows
1,21
2,28
3,26
4,25
5,25
6,27
7,24
8,25
9,25
10,26
11,26
12,21
13,25
14,22
15,27
16,23
17,25
18,25
19,24
20,26
21,25
22,30
23,26
24,24
25,28
26,25
27,23
28,27
29,26
30,27
31,28
32,26
33,27
34,28
35,25
36,29
37,27
38,29
39,27
