¦¸¼Æ,time
Our
100,flows
1,541
2,644
3,602
4,541
5,541
6,647
7,588
8,668
9,582
10,563
11,618
12,588
13,725
14,589
15,641
16,579
17,602
18,651
19,525
20,624
21,562
22,564
23,580
24,656
25,590
26,568
27,552
28,571
29,674
30,570
31,604
32,584
33,650
34,569
35,595
36,614
37,620
38,623
39,604
40,596
41,551
42,603
43,610
44,607
45,635
46,538
47,539
48,514
49,669
50,526
51,568
52,604
53,527
54,599
55,642
56,610
57,582
58,537
59,580
60,543
61,590
62,610
63,536
64,622
65,581
66,667
67,637
68,608
69,646
70,670
71,599
72,564
73,577
74,640
75,572
76,582
77,669
78,700
79,603
80,603
81,556
82,605
83,599
84,742
85,678
86,571
87,563
88,579
89,578
90,607
91,562
92,620
93,652
94,632
95,672
96,607
97,610
98,621
99,617
100,570
140,flows
1,804
2,710
3,797
4,864
5,770
6,744
7,809
8,820
9,871
10,753
11,811
12,777
13,743
14,760
15,710
16,757
17,800
18,882
19,723
20,818
21,745
22,798
23,804
24,784
25,844
26,724
27,766
28,858
29,811
30,749
31,835
32,782
33,732
34,767
35,778
36,840
37,764
38,882
39,851
40,854
41,776
42,825
43,700
44,720
45,766
46,726
47,824
48,786
49,780
50,842
51,722
52,755
53,882
54,751
55,803
56,799
57,736
58,711
59,820
60,926
61,750
62,820
63,794
64,745
65,822
66,752
67,823
68,841
69,780
70,952
71,876
72,805
73,749
74,789
75,807
76,733
77,877
78,802
79,785
80,787
81,754
82,808
83,803
84,836
85,829
86,814
87,783
88,803
89,790
90,812
91,751
92,811
93,811
94,864
95,756
96,777
97,799
98,701
99,722
100,768
180,flows
1,841
2,977
3,891
4,998
5,972
6,989
7,1080
8,1104
9,925
10,927
11,981
12,990
13,998
14,928
15,1057
16,904
17,975
18,967
19,1028
20,1110
21,973
22,987
23,933
24,986
25,1037
26,1076
27,945
28,970
29,1027
30,891
31,985
32,1005
33,988
34,1107
35,996
36,996
37,1071
38,962
39,934
40,1019
41,1037
42,905
43,935
44,1015
45,1044
46,973
47,974
48,941
49,1040
50,917
51,978
52,1001
53,971
54,908
55,959
56,824
57,995
58,989
59,917
60,954
61,874
62,1078
63,991
64,909
65,958
66,920
67,1087
68,912
69,941
70,1031
71,943
72,919
73,1012
74,977
75,898
76,984
77,950
78,989
79,931
80,1044
81,945
82,1007
83,1053
84,862
85,1104
86,1163
87,989
88,997
89,973
90,909
91,1096
92,1029
93,903
94,1062
95,963
96,964
97,955
98,939
99,920
100,863
220,flows
1,1157
2,1251
3,1058
4,990
5,1117
6,1111
7,1133
8,1259
9,1261
10,1145
11,1254
12,1298
13,1166
14,1014
15,1046
16,1095
17,1142
18,1156
19,1136
20,1138
21,1075
22,1120
23,1068
24,1188
25,1148
26,1154
27,1147
28,1189
29,1156
30,1115
31,1144
32,1160
33,1060
34,1301
35,1191
36,1088
37,1085
38,1181
39,1129
40,1130
41,1172
42,1130
43,1150
44,1169
45,1061
46,1100
47,1161
48,1102
49,1187
50,1207
51,1207
52,1226
53,1229
54,1181
55,1129
56,1048
57,1105
58,1238
59,989
60,1164
61,1037
62,1272
63,1210
64,1067
65,1143
66,1157
67,1177
68,1222
69,1207
70,1020
71,1089
72,1128
73,1222
74,1094
75,1129
76,1096
77,1131
78,1111
79,1217
80,1033
81,1098
82,1186
83,1141
84,1115
85,1074
86,1134
87,1190
88,1155
89,1282
90,1115
91,1214
92,1086
93,1092
94,1233
95,1138
96,1240
97,1088
98,1135
99,1142
100,1174
260,flows
1,1397
2,1314
3,1288
4,1276
5,1255
6,1279
