次數,原始,Time_前後,Time_後前,Flow_前後,Flow_後前
--------------,-------------,-我是分隔,線-----------,--------------,--------------
341,8,8,8,8,8
342,9,9,9,9,9
343,8,8,8,7,7
344,8,8,8,8,8
345,4,4,6,6,6
346,7,7,8,8,8
347,6,6,6,6,6
348,8,8,8,8,8
349,8,8,8,8,8
350,6,6,6,7,7
351,7,7,8,8,8
352,5,6,6,5,6
353,7,7,7,7,7
354,3,3,3,3,3
355,5,5,6,5,6
356,6,6,6,6,6
357,6,7,7,7,7
358,7,7,7,6,7
359,5,5,7,7,7
360,7,7,7,7,7
361,6,6,7,5,6
362,8,8,8,8,8
363,7,7,7,7,7
364,8,8,8,8,8
365,7,7,7,7,7
366,8,9,9,8,9
367,8,8,8,8,8
368,8,9,9,9,9
369,5,5,6,4,6
370,7,7,7,7,7
371,9,9,9,9,9
372,7,7,7,7,7
373,8,8,8,8,8
374,6,6,7,7,7
375,6,6,6,6,6
376,8,8,8,8,8
377,9,9,9,8,9
378,9,9,9,9,9
379,10,10,10,10,10
380,6,6,6,6,6
381,5,5,6,7,7
382,6,7,6,7,7
383,6,6,7,6,7
384,4,4,3,4,4
385,9,9,9,9,9
386,8,8,9,9,9
387,8,8,9,7,9
388,7,7,9,7,9
389,7,7,7,7,7
390,5,5,5,5,6
391,8,9,9,9,9
392,7,7,7,7,7
393,9,8,10,9,10
394,6,6,6,6,6
395,6,6,6,6,6
396,6,6,6,6,6
397,8,8,8,7,8
398,8,9,9,9,8
399,5,5,6,6,6
400,7,7,7,7,7
401,9,9,9,9,9
402,7,7,7,7,7
403,5,6,7,6,7
404,7,7,7,7,7
405,9,10,10,10,9
406,6,7,9,6,8
407,6,7,8,8,8
408,8,8,8,8,8
409,8,8,7,6,7
410,7,7,7,7,7
411,7,7,7,7,7
412,6,6,6,6,6
413,9,9,9,9,9
414,8,8,8,8,8
415,8,8,9,9,9
416,9,9,9,9,9
417,7,7,7,7,7
418,5,5,5,5,5
419,9,9,9,9,8
420,8,8,8,8,8
421,6,6,6,6,6
422,8,8,8,7,6
423,6,6,7,6,7
424,9,9,9,9,9
425,6,7,7,7,7
426,8,8,8,8,8
427,7,7,7,7,7
428,7,8,8,7,8
429,8,8,8,8,8
430,7,7,8,7,8
431,8,8,8,8,8
432,7,7,8,8,7
433,9,9,9,8,9
434,8,8,8,8,8
435,6,6,6,6,7
436,7,7,8,8,7
437,8,8,8,8,8
438,7,7,7,7,7
439,8,8,8,8,8
440,7,7,8,8,8
441,6,6,7,7,7
442,7,7,7,7,7
443,8,8,8,8,7
444,7,7,7,6,7
445,7,8,8,8,8
446,3,2,4,5,5
447,7,5,7,6,7
448,7,7,7,7,7
449,8,8,8,8,7
450,6,7,7,7,7
451,6,7,6,7,6
452,9,9,9,8,9
453,9,9,8,9,8
454,7,7,8,6,8
455,8,8,8,8,8
456,10,10,10,9,9
457,8,8,8,8,8
458,7,7,7,7,7
459,5,5,6,5,6
460,8,8,8,8,8
461,6,6,6,6,6
462,7,7,7,7,7
463,7,7,7,6,7
464,9,9,9,9,9
465,7,7,8,8,8
466,6,6,8,8,8
467,6,6,7,7,7
468,7,7,7,7,7
469,7,8,8,8,8
470,9,9,9,7,9
471,7,7,8,7,8
472,7,8,9,9,9
473,7,7,7,7,7
474,8,8,8,8,8
475,6,6,6,7,7
476,6,7,7,7,6
477,9,9,9,9,9
478,8,8,8,8,8
479,9,9,10,10,10
480,8,8,8,8,8
481,7,7,7,7,8
482,5,7,7,6,7
483,7,7,7,7,7
484,6,6,6,6,6
485,8,8,9,9,9
486,6,6,6,6,6
487,6,6,8,7,8
488,6,6,7,7,7
489,8,8,8,8,8
490,9,9,8,9,9
491,8,8,8,8,8
492,8,8,8,8,8
493,7,7,7,7,7
494,10,10,10,8,9
495,8,8,8,8,8
496,6,7,7,7,7
497,6,6,6,6,6
498,7,7,7,6,7
499,3,3,5,4,5
500,8,8,8,8,8
--------------,-------------,-我是分隔,線-----------,--------------,--------------
--------------,-------------,-我是分隔,線-----------,--------------,--------------
