次數,原始,Time_前後,Time_後前,Flow_前後,Flow_後前
265,7,7,7,5,6
266,5,5,6,5,6
267,7,7,7,7,7
268,8,8,6,8,6
269,7,7,7,7,7
270,8,8,8,7,8
271,7,7,7,7,7
272,6,6,6,6,6
273,7,5,6,5,7
274,8,8,9,8,9
275,8,8,7,7,7
276,7,7,8,5,7
277,8,8,8,8,8
278,8,7,7,8,7
279,7,7,7,7,7
280,9,9,9,9,9
281,7,7,7,6,7
282,7,7,7,7,7
283,7,7,7,7,7
284,8,8,8,8,8
285,8,8,8,8,8
286,8,8,8,8,8
287,9,9,9,9,9
288,8,7,8,8,8
289,7,7,7,7,7
290,4,4,5,4,5
291,7,7,7,7,7
292,8,8,8,7,8
293,7,6,7,6,6
294,5,5,4,5,4
295,7,7,7,7,7
296,7,7,7,7,6
297,7,7,6,6,6
298,9,9,10,10,8
299,7,7,7,6,7
300,8,8,7,7,7
301,8,8,8,8,8
302,5,5,6,5,6
303,8,8,8,8,8
304,7,7,5,6,6
305,6,6,6,6,6
306,5,5,5,4,5
307,5,5,5,5,5
308,9,9,9,8,9
309,7,7,6,7,6
310,6,6,6,6,6
311,9,8,9,8,8
312,9,8,8,8,8
313,6,6,7,6,6
314,8,8,8,7,8
315,7,7,7,7,7
316,6,6,6,6,6
317,7,7,7,7,7
318,8,8,8,8,8
319,8,9,7,8,7
320,7,7,7,6,7
321,7,6,7,5,7
322,7,7,6,6,6
323,7,8,7,7,7
324,7,7,7,6,7
325,8,8,8,8,8
326,6,6,6,6,6
327,7,7,7,7,7
328,6,6,6,4,6
329,7,7,7,5,6
330,8,8,8,7,8
331,9,9,9,9,8
332,7,7,7,7,7
333,8,8,7,8,7
334,8,8,7,7,7
335,6,6,6,5,6
336,8,8,8,8,8
337,5,5,5,6,6
338,7,7,7,7,7
339,7,6,7,6,7
340,5,5,5,6,6
341,8,8,8,7,7
342,7,8,8,7,8
343,7,7,7,7,7
344,7,7,7,7,7
345,7,7,7,7,7
346,8,8,8,8,8
347,8,8,9,8,9
348,9,8,9,8,8
349,6,6,6,6,6
350,6,6,7,6,7
351,5,5,6,5,6
352,6,6,6,6,6
353,8,8,8,8,8
354,7,7,7,7,7
355,5,5,6,5,6
356,6,6,6,6,6
357,7,7,7,7,7
358,6,7,7,7,7
359,6,6,6,6,6
360,7,7,7,6,7
361,7,7,7,7,7
362,7,7,7,7,6
363,6,6,6,5,6
364,6,6,6,6,6
365,9,8,8,8,8
366,7,6,7,6,6
367,8,8,7,7,7
368,9,9,9,9,9
369,8,8,8,8,8
370,9,9,9,9,9
371,7,7,6,5,6
372,9,9,9,9,8
373,8,8,8,8,8
374,8,8,8,8,8
375,7,7,7,7,7
376,5,6,6,6,6
377,6,6,5,5,5
378,8,8,8,7,8
379,7,7,7,7,7
380,6,5,7,7,7
381,8,8,8,8,7
382,8,8,8,7,8
383,6,6,6,5,6
384,6,6,5,6,5
385,6,6,6,6,6
386,10,10,8,9,8
387,7,7,8,7,8
388,7,6,6,6,6
389,5,5,6,5,6
390,7,8,8,6,8
391,6,6,6,6,6
392,7,7,7,5,7
393,8,8,8,8,8
394,5,5,6,6,5
395,8,8,9,9,10
396,8,9,5,9,8
397,8,8,7,6,6
398,8,8,8,8,8
399,7,7,6,6,7
400,6,6,5,6,5
