¦¸¼Æ,flows
NCB
100,flows
1,16
2,19
3,21
4,18
5,20
6,18
7,16
8,20
9,17
10,23
11,19
12,21
13,19
14,21
15,17
16,18
17,19
18,24
19,17
20,24
21,17
22,19
23,19
24,21
25,19
26,19
27,19
28,18
29,21
30,18
31,17
32,19
33,19
34,19
35,20
36,19
37,20
38,19
39,21
40,19
41,20
42,17
43,18
44,16
45,23
46,22
47,20
48,20
49,22
50,19
51,19
52,19
53,18
54,19
55,19
56,21
57,21
58,19
59,25
60,21
61,16
62,19
63,20
64,20
65,19
66,18
67,18
68,20
69,20
70,19
71,20
72,18
73,19
74,19
75,17
76,18
77,19
78,21
79,16
80,18
81,19
82,18
83,20
84,18
85,21
86,20
87,17
88,19
89,16
90,18
91,22
92,19
93,19
94,19
95,22
96,20
97,16
98,22
99,18
100,21
140,flows
1,20
2,24
3,22
4,21
5,21
6,20
7,20
8,20
9,21
10,21
11,21
12,22
13,21
14,25
15,22
16,18
17,21
18,20
19,22
20,22
21,23
22,20
23,20
24,21
25,26
26,20
27,21
28,21
29,21
30,24
31,20
32,21
33,25
34,19
35,25
36,22
37,23
38,24
39,24
40,20
41,20
42,23
43,21
44,22
45,23
46,21
47,20
48,23
49,22
50,19
51,22
52,24
53,21
54,22
55,23
56,17
57,21
58,21
59,21
60,20
61,21
62,24
63,21
64,22
65,21
66,19
67,23
68,21
69,21
70,25
71,18
72,23
73,23
74,20
75,21
76,24
77,21
78,19
79,22
80,21
81,17
82,20
83,21
84,20
85,22
86,20
87,21
88,20
89,19
90,20
91,21
92,19
93,21
94,19
95,20
96,20
97,20
98,21
99,21
100,20
180,flows
1,23
2,20
3,22
4,23
5,20
6,22
7,24
8,23
9,24
10,23
11,21
12,24
13,24
14,23
15,25
16,22
17,24
18,22
19,26
20,22
21,20
22,22
23,22
24,22
25,21
26,25
27,21
28,23
29,23
30,23
31,20
32,27
33,20
34,21
35,24
36,22
37,23
38,22
39,23
40,21
41,21
42,22
43,23
44,21
45,21
46,25
47,25
48,25
49,23
50,24
51,23
52,24
53,18
54,22
55,20
56,22
57,25
58,21
59,21
60,24
61,23
62,22
63,22
64,22
65,20
66,23
67,22
68,23
69,23
70,26
71,21
72,20
73,26
74,22
75,24
76,20
77,25
78,21
79,22
80,22
81,22
82,20
83,20
84,21
85,18
86,20
87,22
88,23
89,19
90,26
91,20
92,25
93,25
94,25
95,23
96,21
97,24
98,22
99,20
100,23
220,flows
1,21
2,23
3,26
4,23
5,21
6,20
7,23
8,23
9,26
10,24
11,26
12,23
13,25
14,23
15,22
16,22
17,24
18,23
19,24
20,22
21,22
22,29
23,23
24,23
25,24
26,21
27,21
28,25
29,22
30,25
31,26
32,26
33,21
34,20
35,25
36,24
37,25
38,24
39,25
40,28
41,21
42,22
43,27
44,25
45,24
46,25
47,24
48,24
49,21
50,28
51,21
52,28
53,24
54,22
55,24
56,27
57,23
58,25
59,21
60,22
61,25
62,21
63,25
64,24
65,24
66,26
67,23
68,23
69,26
70,23
71,25
72,26
73,25
74,23
75,25
76,25
77,24
78,24
79,22
80,25
81,24
82,29
83,22
84,24
85,25
86,27
87,25
88,20
89,23
90,22
91,27
92,25
93,24
94,27
95,21
96,24
97,20
98,23
99,24
100,21
260,flows
1,23
2,23
3,25
4,24
5,27
6,25
7,25
8,28
9,30
10,26
11,22
12,26
13,25
14,29
15,26
16,27
17,26
18,27
19,22
20,24
21,25
22,30
23,28
24,24
25,26
26,25
27,23
28,23
29,22
30,26
31,31
32,24
33,29
34,26
35,22
36,28
37,28
38,25
39,25
40,27
41,23
42,27
43,29
44,26
45,24
46,26
47,24
48,26
49,23
50,28
51,26
52,27
53,26
54,28
55,23
56,24
57,26
58,29
59,24
60,22
61,26
62,22
63,24
64,24
65,25
66,26
67,22
68,26
69,19
70,24
71,28
72,28
73,26
74,26
75,22
76,21
77,24
78,26
79,26
80,26
81,23
82,22
83,25
84,23
85,27
86,25
87,22
88,25
89,28
90,28
91,23
92,26
93,27
94,26
95,21
96,24
97,29
98,28
99,23
100,28
PB
100,flows
1,16
2,15
3,15
4,15
5,13
6,17
7,15
8,14
9,15
10,15
11,20
12,16
13,18
14,17
15,13
16,19
17,23
18,15
19,14
20,17
21,14
22,15
23,16
24,17
25,15
26,16
27,16
28,18
29,13
30,16
31,16
32,17
33,12
34,14
35,15
36,14
37,16
38,14
39,14
40,20
41,16
42,13
43,18
44,12
45,18
46,16
47,16
48,17
49,18
50,19
51,19
52,15
53,17
54,15
55,15
56,15
57,13
58,18
59,10
60,20
61,16
62,17
63,18
64,14
65,17
66,17
67,13
68,17
69,15
70,14
71,16
72,17
73,16
74,15
75,15
76,17
77,16
78,16
79,14
80,14
81,17
82,18
83,19
84,14
85,17
86,19
87,18
88,15
89,16
90,12
91,15
92,18
93,16
94,16
95,16
96,18
97,17
98,16
99,18
100,14
140,flows
1,21
2,17
3,15
4,17
5,16
6,17
7,18
8,14
9,15
10,17
11,17
12,19
13,16
14,20
15,17
16,18
17,19
18,18
19,19
20,17
21,16
22,20
23,17
24,17
25,23
26,12
27,16
28,16
29,11
30,15
31,16
32,16
33,17
34,15
35,16
36,16
37,17
38,14
39,13
40,18
41,16
42,17
43,14
44,20
45,17
46,15
47,19
48,17
49,19
50,15
51,19
52,17
53,17
54,18
55,18
56,15
57,16
58,19
59,15
60,18
61,16
62,19
63,17
64,14
65,17
66,15
67,19
68,19
69,15
70,18
71,19
72,18
73,15
74,17
75,19
76,16
77,12
78,16
79,18
80,20
81,21
82,18
83,16
84,19
85,13
86,17
87,17
88,17
89,17
90,17
91,16
92,17
93,20
94,15
95,16
96,15
97,20
98,14
99,15
100,15
180,flows
1,18
2,19
3,19
4,15
5,15
6,14
7,17
8,16
9,21
10,16
11,20
12,19
13,16
14,15
15,14
16,15
17,17
18,19
19,17
20,14
21,15
22,19
23,20
24,15
25,19
26,18
27,21
28,17
29,18
30,19
31,18
32,18
33,17
34,17
35,17
36,16
37,16
38,20
39,16
40,16
41,15
42,19
43,15
44,16
45,17
46,15
47,19
48,18
49,16
50,19
51,18
52,19
53,16
54,16
55,18
56,13
57,19
58,16
59,14
60,16
61,15
62,22
63,16
64,18
65,17
66,15
67,20
68,15
69,19
70,19
71,20
72,18
73,16
74,19
75,19
76,19
77,15
78,17
79,15
80,21
81,19
