¦¸¼Æ,flows
NCB
100,flows
1,0.01590549999673385
2,0.022918900001968723
3,0.016667199997755233
4,0.017058199999155477
5,0.014928800002962817
6,0.014884399999573361
7,0.01453860000037821
8,0.015171400002145674
9,0.015545900001598056
10,0.016709100003936328
11,0.015224900002067443
12,0.018050499995297287
13,0.016942900001595262
14,0.015474300002097152
15,0.014948899995943066
16,0.016668900003423914
17,0.014552900000126101
18,0.014259200004744343
19,0.01576000000204658
20,0.015246999995724764
21,0.01573379999899771
22,0.015669399996113498
23,0.019388699998671655
24,0.015225499999360181
25,0.01777800000127172
26,0.015269600000465289
27,0.01636529999814229
28,0.01648659999773372
29,0.025052400000276975
30,0.015152799998759292
31,0.019976300005509984
32,0.015454000000318047
33,0.015394499998365063
34,0.015406099999381695
35,0.015498399996431544
36,0.015800900000613183
37,0.01753830000234302
38,0.016525899998669047
39,0.015352700000221375
40,0.015275500001735054
41,0.014743400002771523
42,0.01557689999754075
43,0.02005519999511307
44,0.014764599996851757
45,0.01580130000365898
46,0.01546529999905033
47,0.015372900001239032
48,0.015761300004669465
49,0.015492999998969026
50,0.014606199998524971
51,0.014265899997553788
52,0.014676700004201848
53,0.018633799998497125
54,0.01541449999785982
55,0.015429799997946247
56,0.014478300006885547
57,0.014564299999619834
58,0.015277099999366328
59,0.014648600001237355
60,0.014809399996011052
61,0.0156252000015229
62,0.015145400000619702
63,0.016362199996365234
64,0.014419099999940954
65,0.014668299998447765
66,0.014491200003249105
67,0.016259999996691477
68,0.01561750000109896
69,0.014920299996447284
70,0.01703789999737637
71,0.015367899999546353
72,0.013953699999547098
73,0.01646729999629315
74,0.01794099999824539
75,0.014631500001996756
76,0.014905299998645205
77,0.014639400003943592
78,0.014582600000721868
79,0.015454600004886743
80,0.015536099999735598
81,0.013982700002088677
82,0.014898499997798353
83,0.016028499994718004
84,0.0156490000008489
85,0.01620330000150716
86,0.016905700002098456
87,0.01691229999414645
88,0.014829800005827565
89,0.015195600004517473
90,0.014966299997468013
91,0.013966600003186613
92,0.015392399996926542
93,0.014108600000326987
94,0.015287499998521525
95,0.014960600004997104
96,0.014440799997828435
97,0.01630190000287257
98,0.014515800001390744
99,0.016596299996308517
100,0.01530559999810066
140,flows
1,0.023499199996876996
2,0.023099500001990236
3,0.024491300006047823
4,0.02445070000248961
5,0.023827800003346056
6,0.02364040000247769
7,0.024446900002658367
8,0.023789500002749264
9,0.02507299999706447
10,0.02526419999776408
11,0.025857599997834768
12,0.023771899999701418
13,0.025647300004493445
14,0.022625999998126645
15,0.02340919999551261
16,0.023375999997369945
17,0.022258799996052403
18,0.02215089999663178
19,0.02255940000031842
20,0.027540299997781403
21,0.02354650000052061
22,0.02375400000164518
23,0.025710100002470426
24,0.023278400003619026
25,0.023759900002914947
26,0.0232218000019202
27,0.024074599998129997
28,0.023683200000959914
29,0.024080600000161212
30,0.02313760000106413
31,0.031503199999860954
32,0.024631000000226777
33,0.025742899997567292
34,0.022292499998002313
35,0.024188199997297488
36,0.02390929999819491
37,0.024677399997017346
38,0.02401589999499265
39,0.023781899995810818
40,0.025102999999944586
41,0.022918900001968723
42,0.023915700003271922
43,0.024294999995618127
44,0.02392369999870425
45,0.025130299996817484
46,0.02092409999750089
47,0.02279360000102315
48,0.023254200001247227
49,0.023508799997216556
50,0.022049799998058006
51,0.022080700000515208
52,0.023692800001299474
53,0.026765200003865175
54,0.026726399999461137
55,0.024085299999569543
56,0.02465449999726843
57,0.022132099998998456
58,0.022509100002935156
59,0.023785400000633672
60,0.022277000003668945
61,0.02413140000135172
62,0.022943299998587463
63,0.023136199997679796
64,0.02404959999694256
65,0.02384140000503976
66,0.023349899995082524
67,0.02566300000034971
68,0.024806599998555612
69,0.024800699997285847
70,0.026906099999905564
71,0.023462400000425987
72,0.02299510000011651
73,0.025633199998992495
74,0.024701200003619306
75,0.02403259999846341
76,0.02328579999448266
77,0.021966700005577877
78,0.025060300002223812
79,0.022553399998287205
80,0.02302189999318216
81,0.025516800000332296
82,0.02380470000207424
83,0.022898200004419778
84,0.027508400002261624
85,0.022627600003033876
86,0.025314799997431692
87,0.026968800004397053
88,0.025951700001314748
89,0.023981199999980163
90,0.024549800000386313
91,0.02297980000003008
92,0.022611899999901652
93,0.022674699997878633
94,0.023912900003779214
95,0.022709900003974326
96,0.025780399999348447
97,0.023134499999287073
98,0.02208470000186935
99,0.022789300004660618
100,0.023133300004701596
180,flows
1,0.03201789999729954
2,0.03221759999723872
3,0.03316300000005867
4,0.03549840000050608
5,0.03201239999907557
6,0.03294099999766331
7,0.033325099997455254
8,0.03507309999986319
9,0.03310810000402853
10,0.034597799996845424
11,0.03411299999424955
12,0.03111720000015339
13,0.0360212000014144
14,0.033719599996402394
15,0.03321400000277208
16,0.03321159999904921
17,0.03460840000479948
18,0.03094749999581836
19,0.032192300001042895
20,0.0318593999982113
21,0.033619400004681665
22,0.033036400003766175
23,0.03449169999657897
24,0.0320995000001858
25,0.034747199999401346
26,0.03261439999914728
27,0.030843000000459142
28,0.034062899998389184
29,0.0319593000021996
30,0.03231529999902705
31,0.03321429999778047
32,0.03398439999727998
33,0.035008899998501875
34,0.03232389999902807
35,0.034527199997683056
36,0.03437909999775002
37,0.03180680000514258
38,0.03553739999915706
39,0.03205159999924945
40,0.032417100002930965
41,0.033561500000359956
42,0.03249430000141729
43,0.03497709999646759
44,0.033561999996891245
45,0.03472150000015972
46,0.035255499999038875
47,0.032315800002834294
48,0.03196129999560071
49,0.03073700000095414
50,0.030326799998874776
51,0.030691699997987598
52,0.033469400004833005
53,0.0348807000045781
54,0.03254759999981616
55,0.033670999997411855
56,0.03608859999803826
57,0.03396140000404557
58,0.033238099997106474
59,0.03278670000145212
60,0.034873299999162555
61,0.03416619999916293
62,0.03259309999702964
63,0.03305040000122972
64,0.04260449999856064
65,0.03182290000404464
66,0.03641120000247611
67,0.033580900002561975
68,0.03589490000013029
69,0.03381000000081258
70,0.03247759999794653
71,0.034372699999948964
72,0.035434400000667665
73,0.03115830000024289
74,0.0360798000037903
75,0.030670100000861567
76,0.03374960000655847
77,0.03443419999530306
78,0.0313936999955331
79,0.032698199996957555
80,0.03322930000285851
81,0.03250870000192663
82,0.03354300000501098
83,0.03271790000144392
84,0.03536760000133654
85,0.03305949999776203
86,0.04164489999675425
