¦¸¼Æ,flows
NCB
100,flows
1,30
2,30
3,32
4,28
5,30
6,30
7,25
8,31
9,35
10,26
11,29
12,28
13,31
14,26
15,30
16,26
17,30
18,28
19,30
20,30
21,30
22,27
23,28
24,30
25,31
26,32
27,27
28,30
29,26
30,28
31,26
32,29
33,31
34,26
35,29
36,26
37,28
38,32
39,30
40,30
41,30
42,30
43,29
44,32
45,30
46,32
47,31
48,28
49,31
50,29
51,27
52,33
53,29
54,30
55,31
56,27
57,34
58,33
59,31
60,29
61,30
62,26
63,30
64,31
65,28
66,31
67,32
68,31
69,28
70,30
71,25
72,28
73,29
74,29
75,29
76,29
77,28
78,27
79,29
80,31
81,27
82,25
83,31
84,28
85,29
86,31
87,29
88,31
89,29
90,30
91,28
92,33
93,26
94,25
95,30
96,31
97,32
98,25
99,32
100,27
140,flows
1,32
2,31
3,34
4,33
5,30
6,32
7,30
8,34
9,29
10,29
11,32
12,35
13,34
14,32
15,30
16,31
17,32
18,34
19,35
20,33
21,38
22,34
23,33
24,38
25,33
26,33
27,32
28,34
29,33
30,36
31,32
32,34
33,29
34,35
35,31
36,33
37,32
38,35
39,36
40,31
41,34
42,32
43,36
44,35
45,39
46,31
47,34
48,30
49,30
50,33
51,33
52,34
53,31
54,35
55,35
56,34
57,34
58,33
59,32
60,31
61,34
62,31
63,33
64,34
65,33
66,33
67,36
68,33
69,30
70,36
71,30
72,34
73,32
74,31
75,35
76,34
77,35
78,34
79,36
80,30
81,33
82,32
83,35
84,35
85,33
86,33
87,33
88,33
89,32
90,33
91,34
92,34
93,33
94,33
95,35
96,33
97,35
98,32
99,33
100,31
180,flows
1,32
2,36
3,36
4,40
5,37
6,41
7,40
8,37
9,37
10,36
11,36
12,35
13,36
14,36
15,39
16,32
17,38
18,36
19,41
20,39
21,37
22,33
23,44
24,37
25,36
26,37
27,33
28,36
29,36
30,38
31,37
32,38
33,41
34,39
35,35
36,39
37,37
38,39
39,36
40,33
41,37
42,37
43,37
44,40
45,40
46,36
47,35
48,39
49,38
50,39
51,43
52,35
53,37
54,40
55,38
56,36
57,37
58,38
59,42
60,35
61,39
62,34
63,41
64,37
65,34
66,39
67,35
68,37
69,36
70,35
71,36
72,37
73,38
74,37
75,36
76,35
77,34
78,35
79,36
80,40
81,37
82,38
83,36
84,40
85,37
86,37
87,38
88,40
89,34
90,34
91,41
92,37
93,34
94,38
95,38
96,38
97,39
98,36
99,36
100,35
220,flows
1,40
2,47
3,41
4,33
5,42
6,39
7,40
8,39
9,37
10,44
11,42
12,38
13,41
14,42
15,42
16,46
17,38
18,38
19,41
20,44
21,43
22,38
23,39
24,41
25,39
26,42
27,36
28,37
29,34
30,39
31,42
32,40
33,35
34,37
35,43
36,42
37,41
38,41
39,40
40,38
41,39
42,38
43,40
44,42
45,40
46,40
47,36
48,43
49,43
50,43
51,41
52,38
53,43
54,44
55,39
56,37
57,39
58,42
59,37
60,39
61,43
62,42
63,40
64,41
65,38
66,42
67,38
68,41
69,40
70,41
71,40
72,38
73,46
74,46
75,39
76,38
77,42
78,40
79,39
80,38
81,40
82,42
83,38
84,39
85,38
86,43
87,39
88,37
89,36
90,41
91,42
92,39
93,39
94,41
95,43
96,36
97,41
98,39
99,38
100,37
260,flows
1,38
2,43
3,41
4,45
5,47
6,42
7,44
8,41
9,41
10,41
11,49
12,45
13,42
14,46
15,47
16,47
17,44
18,41
19,39
20,41
21,43
22,43
23,46
24,39
25,41
26,44
27,39
28,46
29,42
30,37
31,42
32,44
33,43
34,38
35,41
36,39
37,41
38,40
39,47
40,39
41,41
42,39
43,43
44,48
45,41
46,43
47,42
48,43
49,39
50,44
51,45
52,40
53,39
54,47
55,37
56,39
57,41
58,42
59,47
60,39
61,41
62,42
63,44
64,42
65,40
66,42
67,42
68,42
69,39
70,42
71,41
72,41
73,48
74,40
75,43
76,45
77,45
78,44
79,43
80,44
81,40
82,43
83,44
84,39
85,42
86,40
87,43
88,40
89,38
90,41
91,43
92,42
93,42
94,44
95,42
96,45
97,41
98,42
99,40
100,49
PB
100,flows
1,21
2,26
3,29
4,25
5,24
6,23
7,22
8,25
9,26
10,24
11,23
12,23
13,26
14,23
15,24
16,25
17,25
18,26
19,27
20,23
21,23
22,23
23,19
24,21
25,24
26,27
27,25
28,29
29,20
30,23
31,24
32,25
33,26
34,21
35,27
36,23
37,26
38,22
39,25
40,21
41,23
42,24
43,24
44,25
45,26
46,19
47,26
48,22
49,24
50,23
51,23
52,26
53,24
54,24
55,27
56,22
57,25
58,28
59,25
60,22
61,27
62,23
63,24
64,25
65,23
66,26
67,27
68,23
69,25
70,22
71,23
72,27
73,22
74,21
75,21
76,23
77,29
78,23
79,25
80,25
81,24
82,23
83,25
84,24
85,24
86,23
87,25
88,26
89,26
90,25
91,22
92,25
93,24
94,20
95,19
96,25
97,23
98,25
99,24
100,23
140,flows
1,20
2,23
3,26
4,25
5,24
6,28
7,22
8,26
9,25
10,28
11,20
12,27
13,22
14,29
15,21
16,29
17,23
18,24
19,27
20,23
21,25
22,27
23,26
24,27
25,30
26,28
27,27
28,23
29,22
30,32
31,23
32,21
33,20
34,28
35,29
36,21
37,27
38,26
39,27
40,24
41,29
42,24
43,30
44,25
45,31
46,23
47,28
48,24
49,23
50,29
51,28
52,22
53,19
54,28
55,26
56,25
57,29
58,31
59,26
60,28
61,30
62,23
63,29
64,29
65,22
66,25
67,32
68,22
69,26
70,32
71,26
72,26
73,26
74,21
75,27
76,26
77,30
78,26
79,30
80,27
81,25
82,28
83,25
84,27
85,30
86,23
87,27
88,26
89,29
90,25
91,27
92,26
93,21
94,27
95,31
96,24
97,27
98,27
99,27
100,27
180,flows
1,25
2,29
3,31
4,27
5,30
6,32
7,31
8,30
9,34
10,22
11,24
12,26
13,28
14,29
15,25
16,24
17,34
18,32
19,35
20,30
21,29
22,25
23,35
24,26
25,33
26,33
27,28
28,29
29,28
30,28
31,26
32,31
33,29
34,36
35,25
36,33
37,30
38,24
39,32
40,23
41,29
42,27
43,29
44,27
45,31
46,31
47,28
48,27
49,29
50,29
51,27
52,33
53,30
54,29
55,29
56,27
57,30
58,27
59,26
60,32
61,28
62,29
63,20
64,27
65,27
66,35
67,30
68,25
69,28
70,27
71,34
72,28
73,30
74,27
75,28
76,32
77,27
78,29
79,30
80,25
81,27
